hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,total_guests,total_nights,family,arrival_month_num,season,is_family,has_weekend_stay,has_weekday_stay,estimated_revenue,booking_size,stay_category,lead_time_category
Resort Hotel,0,99,2015,July,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,240.0,,0.0,Transient,87.3,1.0,1.0,Check-Out,2015-07-08,2.0,7,0.0,7.0,Summer,0,1,1,611.1,Couple,Long Stay,Long Lead Time
Resort Hotel,0,118,2015,July,27,1,4,10,1,0.0,0,BB,PRT,Direct,Direct,0.0,0.0,0.0,A,A,2.0,No Deposit,0.0,,0.0,Transient,62.0,0.0,2.0,Check-Out,2015-07-15,1.0,14,0.0,7.0,Summer,0,1,1,868.0,Single,Long Stay,Long Lead Time
Resort Hotel,0,95,2015,July,27,1,4,11,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,241.0,,0.0,Transient,63.86,0.0,0.0,Check-Out,2015-07-16,2.0,15,0.0,7.0,Summer,0,1,1,957.9,Couple,Long Stay,Long Lead Time
Resort Hotel,1,96,2015,July,27,1,2,8,2,0.0,0,BB,PRT,Direct,Direct,0.0,0.0,0.0,E,E,0.0,No Deposit,0.0,,0.0,Transient,108.3,0.0,2.0,Canceled,2015-05-29,2.0,10,0.0,7.0,Summer,0,1,1,1083.0,Couple,Long Stay,Long Lead Time
Resort Hotel,0,69,2015,July,27,2,2,4,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,C,0.0,No Deposit,175.0,,0.0,Transient,65.5,0.0,0.0,Check-Out,2015-07-08,2.0,6,0.0,7.0,Summer,0,1,1,393.0,Couple,Long Stay,Medium Lead Time
Resort Hotel,1,45,2015,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,241.0,,0.0,Transient,108.8,0.0,1.0,Canceled,2015-05-19,3.0,4,0.0,7.0,Summer,0,1,1,435.2,Small Group,Medium Stay,Medium Lead Time
Resort Hotel,1,40,2015,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,241.0,,0.0,Transient,108.8,0.0,1.0,Canceled,2015-06-19,3.0,4,0.0,7.0,Summer,0,1,1,435.2,Small Group,Medium Stay,Medium Lead Time
Resort Hotel,0,15,2015,July,27,2,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0.0,0.0,0.0,A,C,0.0,No Deposit,240.0,,0.0,Transient,98.0,0.0,0.0,Check-Out,2015-07-06,2.0,4,0.0,7.0,Summer,0,1,1,392.0,Couple,Medium Stay,Short Lead Time
Resort Hotel,0,36,2015,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,241.0,,0.0,Transient,108.8,0.0,1.0,Check-Out,2015-07-06,3.0,4,0.0,7.0,Summer,0,1,1,435.2,Small Group,Medium Stay,Medium Lead Time
Resort Hotel,1,43,2015,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,241.0,,0.0,Transient,108.8,0.0,0.0,Canceled,2015-05-23,3.0,4,0.0,7.0,Summer,0,1,1,435.2,Small Group,Medium Stay,Medium Lead Time
Resort Hotel,0,70,2015,July,27,2,2,3,2,0.0,0,HB,ROU,Direct,Direct,0.0,0.0,0.0,E,E,0.0,No Deposit,250.0,,0.0,Transient,137.0,0.0,1.0,Check-Out,2015-07-07,2.0,5,0.0,7.0,Summer,0,1,1,685.0,Couple,Medium Stay,Medium Lead Time
Resort Hotel,1,45,2015,July,27,2,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,G,G,0.0,No Deposit,241.0,,0.0,Transient,117.81,0.0,0.0,Canceled,2015-05-18,2.0,5,0.0,7.0,Summer,0,1,1,589.05,Couple,Medium Stay,Medium Lead Time
Resort Hotel,0,45,2015,July,27,2,2,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,8.0,,0.0,Contract,79.5,0.0,0.0,Check-Out,2015-07-07,2.0,5,0.0,7.0,Summer,0,1,1,397.5,Couple,Medium Stay,Medium Lead Time
Resort Hotel,0,16,2015,July,27,2,2,3,2,0.0,0,BB,ESP,Direct,Direct,0.0,0.0,0.0,F,F,0.0,No Deposit,0.0,,0.0,Transient,123.0,0.0,0.0,Check-Out,2015-07-07,2.0,5,0.0,7.0,Summer,0,1,1,615.0,Couple,Medium Stay,Short Lead Time
Resort Hotel,0,107,2015,July,27,2,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Transient,110.7,0.0,2.0,Check-Out,2015-07-09,2.0,7,0.0,7.0,Summer,0,1,1,774.9,Couple,Long Stay,Long Lead Time
Resort Hotel,1,47,2015,July,27,2,2,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,G,G,0.0,No Deposit,240.0,,0.0,Transient,153.0,0.0,0.0,Canceled,2015-06-02,4.0,7,1.0,7.0,Summer,1,1,1,1071.0,Small Group,Long Stay,Medium Lead Time
Resort Hotel,0,96,2015,July,27,2,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,134.0,,0.0,Transient,58.95,0.0,1.0,Check-Out,2015-07-09,2.0,7,0.0,7.0,Summer,0,1,1,412.65000000000003,Couple,Long Stay,Long Lead Time
Resort Hotel,0,113,2015,July,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0.0,0.0,0.0,E,E,0.0,No Deposit,156.0,,0.0,Transient-Party,82.88,0.0,2.0,Check-Out,2015-07-09,2.0,7,0.0,7.0,Summer,0,1,1,580.16,Couple,Long Stay,Long Lead Time
Resort Hotel,0,90,2015,July,27,2,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,B,1.0,No Deposit,243.0,,0.0,Contract,82.35,0.0,0.0,Check-Out,2015-07-09,2.0,7,0.0,7.0,Summer,0,1,1,576.4499999999999,Couple,Long Stay,Medium Lead Time
Resort Hotel,0,50,2015,July,27,2,2,5,2,0.0,0,HB,IRL,Online TA,TA/TO,0.0,0.0,0.0,E,F,1.0,No Deposit,241.0,,0.0,Transient,119.35,0.0,1.0,Check-Out,2015-07-09,2.0,7,0.0,7.0,Summer,0,1,1,835.4499999999999,Couple,Long Stay,Medium Lead Time
Resort Hotel,0,113,2015,July,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,156.0,,0.0,Transient-Party,67.58,0.0,2.0,Check-Out,2015-07-09,2.0,7,0.0,7.0,Summer,0,1,1,473.06,Couple,Long Stay,Long Lead Time
Resort Hotel,0,93,2015,July,27,2,3,8,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,156.0,,0.0,Contract,56.01,0.0,0.0,Check-Out,2015-07-13,2.0,11,0.0,7.0,Summer,0,1,1,616.11,Couple,Long Stay,Long Lead Time
Resort Hotel,0,76,2015,July,27,2,4,10,2,0.0,0,BB,OMN,Offline TA/TO,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,243.0,,0.0,Contract,110.7,0.0,0.0,Check-Out,2015-07-16,2.0,14,0.0,7.0,Summer,0,1,1,1549.8,Couple,Long Stay,Medium Lead Time
Resort Hotel,0,3,2015,July,27,2,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0.0,0.0,0.0,A,C,0.0,No Deposit,240.0,,0.0,Transient,88.2,1.0,0.0,Check-Out,2015-07-03,2.0,1,0.0,7.0,Summer,0,0,1,88.2,Couple,Short Stay,Last Minute
Resort Hotel,0,1,2015,July,27,2,0,1,2,0.0,0,BB,ARG,Online TA,TA/TO,0.0,0.0,0.0,H,H,0.0,No Deposit,240.0,,0.0,Transient,147.0,1.0,0.0,Check-Out,2015-07-03,2.0,1,0.0,7.0,Summer,0,0,1,147.0,Couple,Short Stay,Last Minute
Resort Hotel,0,1,2015,July,27,2,0,1,2,2.0,0,BB,ESP,Direct,Direct,0.0,0.0,0.0,C,C,0.0,No Deposit,0.0,,0.0,Transient,107.0,1.0,2.0,Check-Out,2015-07-03,4.0,1,1.0,7.0,Summer,1,0,1,107.0,Small Group,Short Stay,Last Minute
Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0.0,0.0,0.0,H,H,0.0,No Deposit,0.0,,0.0,Transient,147.0,0.0,0.0,Check-Out,2015-07-03,2.0,1,0.0,7.0,Summer,0,0,1,147.0,Couple,Short Stay,Last Minute
Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,D,0.0,No Deposit,240.0,,0.0,Transient,117.9,0.0,2.0,Check-Out,2015-07-03,2.0,1,0.0,7.0,Summer,0,0,1,117.9,Couple,Short Stay,Last Minute
Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0.0,0.0,0.0,G,G,0.0,No Deposit,0.0,,0.0,Transient,123.0,0.0,0.0,Check-Out,2015-07-03,2.0,1,0.0,7.0,Summer,0,0,1,123.0,Couple,Short Stay,Last Minute
Resort Hotel,0,14,2015,July,27,2,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0.0,0.0,0.0,A,C,0.0,No Deposit,242.0,,0.0,Transient,98.0,0.0,1.0,Check-Out,2015-07-04,2.0,2,0.0,7.0,Summer,0,0,1,196.0,Couple,Short Stay,Short Lead Time
Resort Hotel,0,10,2015,July,27,2,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,G,G,0.0,No Deposit,241.0,,0.0,Transient,117.81,0.0,0.0,Check-Out,2015-07-04,2.0,2,0.0,7.0,Summer,0,0,1,235.62,Couple,Short Stay,Short Lead Time
Resort Hotel,0,5,2015,July,27,2,0,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0.0,0.0,0.0,E,E,0.0,No Deposit,240.0,,0.0,Transient,135.0,1.0,2.0,Check-Out,2015-07-04,2.0,2,0.0,7.0,Summer,0,0,1,270.0,Couple,Short Stay,Last Minute
Resort Hotel,0,17,2015,July,27,2,0,3,2,0.0,0,BB,ESP,Direct,Direct,0.0,0.0,0.0,F,F,0.0,No Deposit,250.0,,0.0,Transient,133.0,0.0,1.0,Check-Out,2015-07-05,2.0,3,0.0,7.0,Summer,0,0,1,399.0,Couple,Medium Stay,Short Lead Time
Resort Hotel,0,93,2015,July,27,2,0,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,C,0.0,No Deposit,115.0,,0.0,Contract,58.95,0.0,0.0,Check-Out,2015-07-05,2.0,3,0.0,7.0,Summer,0,0,1,176.85000000000002,Couple,Medium Stay,Long Lead Time
Resort Hotel,1,3,2015,July,27,2,0,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Transient,136.33,0.0,2.0,Canceled,2015-06-29,2.0,3,0.0,7.0,Summer,0,0,1,408.99,Couple,Medium Stay,Last Minute
Resort Hotel,0,10,2015,July,27,3,0,2,2,2.0,0,BB,USA,Online TA,TA/TO,0.0,0.0,0.0,G,H,0.0,No Deposit,240.0,,0.0,Transient,153.0,1.0,0.0,Check-Out,2015-07-05,4.0,2,1.0,7.0,Summer,1,0,1,306.0,Small Group,Short Stay,Short Lead Time
Resort Hotel,0,3,2015,July,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0.0,0.0,0.0,A,C,0.0,No Deposit,240.0,,0.0,Transient,110.5,0.0,0.0,Check-Out,2015-07-05,2.0,2,0.0,7.0,Summer,0,0,1,221.0,Couple,Short Stay,Last Minute
Resort Hotel,0,51,2015,July,27,3,0,2,2,0.0,0,BB,POL,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,242.0,,0.0,Transient,97.0,0.0,0.0,Check-Out,2015-07-05,2.0,2,0.0,7.0,Summer,0,0,1,194.0,Couple,Short Stay,Medium Lead Time
Resort Hotel,1,71,2015,July,27,3,0,2,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,242.0,,0.0,Transient,110.3,0.0,2.0,Canceled,2015-06-16,3.0,2,0.0,7.0,Summer,0,0,1,220.6,Small Group,Short Stay,Medium Lead Time
Resort Hotel,1,63,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Transient,82.0,0.0,2.0,Canceled,2015-06-18,2.0,2,0.0,7.0,Summer,0,0,1,164.0,Couple,Short Stay,Medium Lead Time
Resort Hotel,1,62,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,240.0,,0.0,Transient,97.0,0.0,1.0,Canceled,2015-07-03,2.0,2,0.0,7.0,Summer,0,0,1,194.0,Couple,Short Stay,Medium Lead Time
Resort Hotel,1,101,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Transient,73.8,0.0,1.0,Canceled,2015-06-12,2.0,2,0.0,7.0,Summer,0,0,1,147.6,Couple,Short Stay,Long Lead Time
Resort Hotel,0,2,2015,July,27,3,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,3.0,,0.0,Transient,91.5,0.0,0.0,Check-Out,2015-07-05,2.0,2,0.0,7.0,Summer,0,0,1,183.0,Couple,Short Stay,Last Minute
Resort Hotel,0,15,2015,July,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Transient,114.5,0.0,0.0,Check-Out,2015-07-05,2.0,2,0.0,7.0,Summer,0,0,1,229.0,Couple,Short Stay,Short Lead Time
Resort Hotel,1,51,2015,July,27,3,0,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,242.0,,0.0,Transient,110.3,0.0,0.0,Canceled,2015-06-09,3.0,2,0.0,7.0,Summer,0,0,1,220.6,Small Group,Short Stay,Medium Lead Time
Resort Hotel,0,3,2015,July,27,3,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Transient,90.9,1.0,0.0,Check-Out,2015-07-06,2.0,3,0.0,7.0,Summer,0,1,1,272.70000000000005,Couple,Medium Stay,Last Minute
Resort Hotel,1,48,2015,July,27,3,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,E,E,0.0,No Deposit,240.0,,0.0,Transient,123.0,0.0,0.0,Canceled,2015-05-26,2.0,3,0.0,7.0,Summer,0,1,1,369.0,Couple,Medium Stay,Medium Lead Time
Resort Hotel,0,2,2015,July,27,3,2,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,240.0,,0.0,Transient,122.0,0.0,0.0,Check-Out,2015-07-07,1.0,4,0.0,7.0,Summer,0,1,1,488.0,Single,Medium Stay,Last Minute
Resort Hotel,0,72,2015,July,27,3,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,105.0,,0.0,Transient,110.7,1.0,0.0,Check-Out,2015-07-07,2.0,4,0.0,7.0,Summer,0,1,1,442.8,Couple,Medium Stay,Medium Lead Time
Resort Hotel,0,81,2015,July,27,3,2,6,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,5.0,,0.0,Transient,85.86,0.0,0.0,Check-Out,2015-07-11,3.0,8,0.0,7.0,Summer,0,1,1,686.88,Small Group,Long Stay,Medium Lead Time
Resort Hotel,0,99,2015,July,27,3,2,7,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,40.0,,0.0,Contract,58.95,0.0,0.0,Check-Out,2015-07-12,2.0,9,0.0,7.0,Summer,0,1,1,530.5500000000001,Couple,Long Stay,Long Lead Time
Resort Hotel,1,368,2015,July,27,3,3,7,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,40.0,,0.0,Contract,55.68,0.0,0.0,Canceled,2015-05-19,2.0,10,0.0,7.0,Summer,0,1,1,556.8,Couple,Long Stay,Long Lead Time
Resort Hotel,0,364,2015,July,27,3,3,7,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,40.0,,0.0,Contract,55.68,0.0,0.0,Check-Out,2015-07-13,2.0,10,0.0,7.0,Summer,0,1,1,556.8,Couple,Long Stay,Long Lead Time
Resort Hotel,1,81,2015,July,27,3,3,7,2,0.0,0,HB,PRT,Direct,Direct,0.0,0.0,0.0,A,A,2.0,No Deposit,250.0,,0.0,Transient,124.0,0.0,1.0,Canceled,2015-06-09,2.0,10,0.0,7.0,Summer,0,1,1,1240.0,Couple,Long Stay,Medium Lead Time
Resort Hotel,0,99,2015,July,27,3,3,7,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0.0,0.0,0.0,E,E,0.0,No Deposit,115.0,,0.0,Contract,111.15,0.0,0.0,Check-Out,2015-07-13,2.0,10,0.0,7.0,Summer,0,1,1,1111.5,Couple,Long Stay,Long Lead Time
